A1,A534,A535,A536,A537,A538,A539
110001,"1 - Norte",11,RO,"ALTA FLORESTA DOESTE","4 - 20001 até 50000",24069
110002,"1 - Norte",11,RO,ARIQUEMES,"5 - 50001 até 100000",92747
110003,"1 - Norte",11,RO,CABIXI,"2 - 5001 até 10000",6132
110004,"1 - Norte",11,RO,CACOAL,"5 - 50001 até 100000",79330
110005,"1 - Norte",11,RO,CEREJEIRAS,"3 - 10001 até 20000",16852
110006,"1 - Norte",11,RO,"COLORADO DO OESTE","3 - 10001 até 20000",18093
110007,"1 - Norte",11,RO,CORUMBIARA,"2 - 5001 até 10000",8530
110008,"1 - Norte",11,RO,"COSTA MARQUES","3 - 10001 até 20000",14355
110009,"1 - Norte",11,RO,"ESPIGAO D'OESTE","4 - 20001 até 50000",29189
110010,"1 - Norte",11,RO,GUAJARA-MIRIM,"4 - 20001 até 50000",42202
110011,"1 - Norte",11,RO,JARU,"5 - 50001 até 100000",51765
110012,"1 - Norte",11,RO,JI-PARANA,"6 - 100001 até 500000",118092
110013,"1 - Norte",11,RO,"MACHADINHO D'OESTE","4 - 20001 até 50000",32403
110014,"1 - Norte",11,RO,"NOVA BRASILANDIA D'OESTE","3 - 10001 até 20000",19891
110015,"1 - Norte",11,RO,"OURO PRETO DO OESTE","4 - 20001 até 50000",37482
110018,"1 - Norte",11,RO,"PIMENTA BUENO","4 - 20001 até 50000",34135
110020,"1 - Norte",11,RO,"PORTO VELHO","6 - 100001 até 500000",442701
110025,"1 - Norte",11,RO,"PRESIDENTE MEDICI","4 - 20001 até 50000",21709
110026,"1 - Norte",11,RO,"RIO CRESPO","1 - Até 5000",3374
110028,"1 - Norte",11,RO,"ROLIM DE MOURA","5 - 50001 até 100000",51142
110029,"1 - Norte",11,RO,"SANTA LUZIA D'OESTE","2 - 5001 até 10000",8476
110030,"1 - Norte",11,RO,VILHENA,"5 - 50001 até 100000",79616
110032,"1 - Norte",11,RO,"SAO MIGUEL DO GUAPORE","4 - 20001 até 50000",21927
110033,"1 - Norte",11,RO,"NOVA MAMORE","4 - 20001 até 50000",23719
110034,"1 - Norte",11,RO,"ALVORADA D'OESTE","3 - 10001 até 20000",16404
110037,"1 - Norte",11,RO,"ALTO ALEGRE DOS PARECIS","3 - 10001 até 20000",12833
110040,"1 - Norte",11,RO,"ALTO PARAISO","3 - 10001 até 20000",17742
110045,"1 - Norte",11,RO,BURITIS,"4 - 20001 até 50000",33397
110050,"1 - Norte",11,RO,"NOVO HORIZONTE DO OESTE","2 - 5001 até 10000",9933
110060,"1 - Norte",11,RO,CACAULANDIA,"2 - 5001 até 10000",5791
110070,"1 - Norte",11,RO,"CAMPO NOVO DE RONDONIA","3 - 10001 até 20000",12847
110080,"1 - Norte",11,RO,"CANDEIAS DO JAMARI","4 - 20001 até 50000",20787
110090,"1 - Norte",11,RO,CASTANHEIRAS,"1 - Até 5000",3479
110092,"1 - Norte",11,RO,CHUPINGUAIA,"2 - 5001 até 10000",8721
110094,"1 - Norte",11,RO,CUJUBIM,"3 - 10001 até 20000",17262
110100,"1 - Norte",11,RO,"GOVERNADOR JORGE TEIXEIRA","3 - 10001 até 20000",10040
110110,"1 - Norte",11,RO,"ITAPUA DO OESTE","2 - 5001 até 10000",8830
110120,"1 - Norte",11,RO,"MINISTRO ANDREAZZA","3 - 10001 até 20000",10203
110130,"1 - Norte",11,RO,"MIRANTE DA SERRA","3 - 10001 até 20000",11686
110140,"1 - Norte",11,RO,"MONTE NEGRO","3 - 10001 até 20000",14313
110143,"1 - Norte",11,RO,"NOVA UNIAO","2 - 5001 até 10000",7382
110145,"1 - Norte",11,RO,PARECIS,"1 - Até 5000",4990
110146,"1 - Norte",11,RO,"PIMENTEIRAS DO OESTE","1 - Até 5000",2283
110147,"1 - Norte",11,RO,"PRIMAVERA DE RONDONIA","1 - Até 5000",3406
110148,"1 - Norte",11,RO,"SAO FELIPE D'OESTE","2 - 5001 até 10000",5862
110149,"1 - Norte",11,RO,"SAO FRANCISCO DO GUAPORE","3 - 10001 até 20000",16636
110150,"1 - Norte",11,RO,SERINGUEIRAS,"3 - 10001 até 20000",11619
110155,"1 - Norte",11,RO,TEIXEIROPOLIS,"1 - Até 5000",4778
110160,"1 - Norte",11,RO,THEOBROMA,"3 - 10001 até 20000",10575
110170,"1 - Norte",11,RO,URUPA,"3 - 10001 até 20000",12687
110175,"1 - Norte",11,RO,"VALE DO ANARI","2 - 5001 até 10000",9633
110180,"1 - Norte",11,RO,"VALE DO PARAISO","2 - 5001 até 10000",7961
120001,"1 - Norte",12,AC,ACRELANDIA,"3 - 10001 até 20000",13011
120005,"1 - Norte",12,AC,"ASSIS BRASIL","2 - 5001 até 10000",6308
120010,"1 - Norte",12,AC,BRASILEIA,"4 - 20001 até 50000",22261
120013,"1 - Norte",12,AC,BUJARI,"2 - 5001 até 10000",8782
120017,"1 - Norte",12,AC,CAPIXABA,"2 - 5001 até 10000",9368
120020,"1 - Norte",12,AC,"CRUZEIRO DO SUL","5 - 50001 até 100000",79819
120025,"1 - Norte",12,AC,EPITACIOLANDIA,"3 - 10001 até 20000",15679
120030,"1 - Norte",12,AC,FEIJO,"4 - 20001 até 50000",32560
120032,"1 - Norte",12,AC,JORDAO,"2 - 5001 até 10000",6898
120033,"1 - Norte",12,AC,"MANCIO LIMA","3 - 10001 até 20000",15890
120034,"1 - Norte",12,AC,"MANOEL URBANO","2 - 5001 até 10000",8224
120035,"1 - Norte",12,AC,"MARECHAL THAUMATURGO","3 - 10001 até 20000",15123
120038,"1 - Norte",12,AC,"PLACIDO DE CASTRO","3 - 10001 até 20000",17587
120039,"1 - Norte",12,AC,"PORTO WALTER","2 - 5001 até 10000",9711
120040,"1 - Norte",12,AC,"RIO BRANCO","6 - 100001 até 500000",348354
120042,"1 - Norte",12,AC,"RODRIGUES ALVES","3 - 10001 até 20000",15260
120043,"1 - Norte",12,AC,"SANTA ROSA DO PURUS","2 - 5001 até 10000",5061
120045,"1 - Norte",12,AC,"SENADOR GUIOMARD","4 - 20001 até 50000",20588
120050,"1 - Norte",12,AC,"SENA MADUREIRA","4 - 20001 até 50000",39366
120060,"1 - Norte",12,AC,TARAUACA,"4 - 20001 até 50000",36763
120070,"1 - Norte",12,AC,XAPURI,"3 - 10001 até 20000",16639
120080,"1 - Norte",12,AC,"PORTO ACRE","3 - 10001 até 20000",15534
130002,"1 - Norte",13,AM,ALVARAES,"3 - 10001 até 20000",14381
130006,"1 - Norte",13,AM,AMATURA,"2 - 5001 até 10000",9794
130008,"1 - Norte",13,AM,ANAMA,"3 - 10001 até 20000",10766
130010,"1 - Norte",13,AM,ANORI,"3 - 10001 até 20000",17072
130014,"1 - Norte",13,AM,APUI,"3 - 10001 até 20000",18633
130020,"1 - Norte",13,AM,"ATALAIA DO NORTE","3 - 10001 até 20000",15924
130030,"1 - Norte",13,AM,AUTAZES,"4 - 20001 até 50000",33312
130040,"1 - Norte",13,AM,BARCELOS,"4 - 20001 até 50000",25948
130050,"1 - Norte",13,AM,BARREIRINHA,"4 - 20001 até 50000",28077
130060,"1 - Norte",13,AM,"BENJAMIN CONSTANT","4 - 20001 até 50000",34950
130063,"1 - Norte",13,AM,BERURI,"3 - 10001 até 20000",16158
130068,"1 - Norte",13,AM,"BOA VISTA DO RAMOS","3 - 10001 até 20000",15659
130070,"1 - Norte",13,AM,"BOCA DO ACRE","4 - 20001 até 50000",31171
130080,"1 - Norte",13,AM,BORBA,"4 - 20001 até 50000",35919
130083,"1 - Norte",13,AM,CAAPIRANGA,"3 - 10001 até 20000",11303
130090,"1 - Norte",13,AM,CANUTAMA,"3 - 10001 até 20000",13986
130100,"1 - Norte",13,AM,CARAUARI,"4 - 20001 até 50000",26130
130110,"1 - Norte",13,AM,CAREIRO,"4 - 20001 até 50000",33517
130115,"1 - Norte",13,AM,"CAREIRO DA VARZEA","4 - 20001 até 50000",24937
130120,"1 - Norte",13,AM,COARI,"5 - 50001 até 100000",77305
130130,"1 - Norte",13,AM,CODAJAS,"4 - 20001 até 50000",24067
130140,"1 - Norte",13,AM,EIRUNEPE,"4 - 20001 até 50000",31364
130150,"1 - Norte",13,AM,ENVIRA,"3 - 10001 até 20000",16923
130160,"1 - Norte",13,AM,"FONTE BOA","4 - 20001 até 50000",23198
130165,"1 - Norte",13,AM,GUAJARA,"3 - 10001 até 20000",14396
130170,"1 - Norte",13,AM,HUMAITA,"4 - 20001 até 50000",45954
130180,"1 - Norte",13,AM,IPIXUNA,"4 - 20001 até 50000",23460
130185,"1 - Norte",13,AM,IRANDUBA,"4 - 20001 até 50000",41947
130190,"1 - Norte",13,AM,ITACOATIARA,"5 - 50001 até 100000",89064
130195,"1 - Norte",13,AM,ITAMARATI,"2 - 5001 até 10000",7983
130200,"1 - Norte",13,AM,ITAPIRANGA,"2 - 5001 até 10000",8348
